Search performed Sat Nov 07 2020 19:40:06 GMT+0100 (hora estándar de Europa central) by Aritz Durana searching all fields for "compost" searchfields: sequence_type - wgs all matches. (147 total)
PI_firstname	PI_lastname	PI_organization	PI_organization_country	aa_pid	alpha_diversity_shannon	assembled	average_gc_ratio_raw	average_length_raw	biome	biome_id	bowtie	bp_count_raw	collection_date	country	created_on	depth	dereplicate	drisee_score_raw	elevation	env_package	env_package_id	env_package_name	env_package_type	feature	feature_id	fgs_type	file_type	filter_ambig	filter_ln	filter_ln_mult	investigation_type	job_id	latitude	library_id	library_name	location	longitude	m5nr_annotation_version	m5nr_sims_version	m5rna_annotation_version	m5rna_sims_version	material	material_id	max_ambig	metagenome_id	mixs_compliant	name	pipeline_version	prefix_length	priority	project_id	project_name	public	rna_pid	sample_id	sample_name	screen_indexes	seq_meth	sequence_count_raw	sequence_type
jithin	sunny	SRM-IST	India	90	387.505737165746	false	0.772	151	high temperature environment	ENVO:01000305	true	8172265715	2019-05-02	India	2019-06-17T05:56:39	1	true	45.881	2290	soil	mge750262	compost psychrophiles: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	418342	31.55016	mgl750263	2P_R1	reckong peo	78.297932	1	7	1	7	soil	ENVO:00001998	5	f6aa71a0b06d676d343835303730392e33	true	2P_R1	4.0.3	50	immediately	mgp89870	compost psychrophiles from reckong	true	97	mgs750261	compost psychrophiles	h_sapiens	illumina	54120965	WGS
jithin	sunny	SRM-IST	India	90	384.809052017379	false	0.77	151	high temperature environment	ENVO:01000305	true	8172265715	2019-05-02	India	2019-06-17T05:56:47	1	true	21.584	2290	soil	mge750262	compost psychrophiles: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	418343	31.55016	mgl750264	2P_R2	reckong peo	78.297932	1	7	1	7	soil	ENVO:00001998	5	f4702d6e066d676d343835303731302e33	true	2P_R2	4.0.3	50	immediately	mgp89870	compost psychrophiles from reckong	true	97	mgs750261	compost psychrophiles	h_sapiens	illumina	54120965	WGS
jithin	sunny	SRM-IST	India	90	388.170284440075	false	0.765	163.074	high temperature environment	ENVO:01000305	true	15623682385	2019-05-02	India	2019-06-13T03:43:59	1	true	8.612	2290	soil	mge749046	compost: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	417464	31.542236	mgl749047	2P_R	Rekong Peo	78.274049	1	7	1	7	soil	ENVO:00001998	5	44ada370ef6d676d343834393833312e33	true	2P_R	4.0.3	50	immediately	mgp89833	compost psychrophiles	true	97	mgs749045	compost	h_sapiens	illumina	95807508	WGS
jithin	sunny	SRM-IST	India	90	430.486543705246	false	0.632	153.15	high temperature environment	ENVO:01000305	true	20900494422	2019-05-01	India	2019-06-03T19:11:25	1	true	9.98	32	soil	mge747066	compost: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	416019	12.934566	mgl747067	compost-MC1_	tambaram	80.100867	1	7	1	7	soil	ENVO:00001998	5	bb533995cc6d676d343834383338362e33	true	compost-MC1_	4.0.3	50	3months	mgp89723	compost thermophiles	true	97	mgs747065	compost	h_sapiens	illumina	136470387	WGS
jithin	sunny	SRM-IST	India	90	428.263134956717	false	0.632	153.15	high temperature environment	ENVO:01000305	true	20900494422	2019-05-01	India	2019-05-29T05:50:00	1	true	11.421	32	soil	mge746898	compost: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	415569	12.934566	mgl746899	compost-MC1_	tambaram	80.100867	1	7	1	7	soil	ENVO:00001998	5	3063eb190d6d676d343834373933362e33	true	compost-MC1_	4.0.3	50	immediately	mgp89696	compostthermophiles	true	97	mgs746897	compost	h_sapiens	illumina	136470387	WGS
Mingji	Lu	Gottingen university	Germany	90	233.333202261554	false	0.666	151	terrestrial biome	ENVO:00000446	false	6297359266	2009-03-01	Puerto Rico	2017-04-23T20:46:12		true	45.598		soil	mge575824	C_7: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	310174	18.316667	mgl575825	PRJNA337811	rain forest habitat in Puerto Rico	-65.75	1	7	1	7	compost soil	ENVO:00005747	5	c87c5ebe226d676d343734323534312e33	false	PRJNA337811	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs575823	C_7	h_sapiens	illumina	41704366	WGS
Mingji	Lu	Gottingen university	Germany	90	29.3904420884402	false	0.553	150	terrestrial biome	ENVO:00000446	false	11932001700	2012-07-11	USA	2017-04-23T20:45:42		true	44.175		soil	mge575797	C_2: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	310171	37.840898	mgl575798	PRJNA366478	Emeryville, CA	-122.289614	1	7	1	7	compost soil	ENVO:00005747	5	9c084b11526d676d343734323533382e33	false	PRJNA366478	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs575796	C_2	h_sapiens	illumina	79546678	WGS
Mingji	Lu	Gottingen university	Germany	90	11.0029787030603	false	0.533	76	terrestrial biome	ENVO:00000446	true	4865478504	2012-07-03	USA	2017-05-02T20:27:08		true	5.886		soil	mge577957	C_5: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	311613	38.546	mgl577958	PRJNA337831	California, University of UC Davis	-121.7533	1	7	1	7	compost soil	ENVO:00005747	5	0736f148e06d676d343734333938302e33	false	PRJNA337831	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs577956	C_5	h_sapiens	illumina	64019454	WGS
Mingji	Lu	Gottingen university	Germany	90	33.7191325019452	false	0.508	150	terrestrial biome	ENVO:00000446	true	12821308500	2012-02-08	USA	2017-06-05T19:01:23		true	43.7		soil	mge585802	C_11: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317010	38.546	mgl585803	SRX2021685	University of California, Davis	-121.7533	1	7	1	7	compost soil	ENVO:00005747	5	05bd52d0216d676d343734393337372e33	false	SRX2021685	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	SRX2021685	C_11	h_sapiens	illumina	85475390	WGS
Mingji	Lu	Gottingen university	Germany	90	250.639604180265	false	0.87	150	terrestrial biome	ENVO:00000446	true	12607035000	2012-02-08	USA	2017-06-05T19:01:11		true	45.608		soil	mge585805	C_12: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317008	37.454581	mgl585806	SRX2021069	Milpitas, CA	-121.928712	1	7	1	7	compost soil	ENVO:00005747	5	57f0e896e36d676d343734393337352e33	false	SRX2021069	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	SRX2021069	C_12	h_sapiens	illumina	84046900	WGS
Mingji	Lu	Gottingen university	Germany	90	12.2690228259287	false	0.432	150	terrestrial biome	ENVO:00000446	false	12406499400	2012-07-11	USA	2017-04-23T20:46:02		true	44.774		soil	mge575812	C_3: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	310173	37.840898	mgl575813	PRJNA366683	Emeryville, CA	-122.289614	1	7	1	7	compost soil	ENVO:00005747	5	c83dec93a86d676d343734323534302e33	false	PRJNA366683	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs575811	C_3	h_sapiens	illumina	82709996	WGS
Mingji	Lu	Gottingen university	Germany	90	7.94836435930683	false	0.53	76	terrestrial biome	ENVO:00000446	true	5137116944	2012-07-03	USA	2017-05-02T20:27:02		true	1.772		soil	mge577960	C_6: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	311612	38.5382364	mgl577961	PRJNA337828	California, University of UC Davis	-121.7639012	1	7	1	7	compost soil	ENVO:00005747	5	24160cf07c6d676d343734333937392e33	false	PRJNA337828	4.0.1	50	immediately	mgp80207	reference_metagenome	true	97	mgs577959	C_6	h_sapiens	illumina	67593644	WGS
Mingji	Lu	Gottingen university	Germany	90	214.224708993137	false	0.706	150	terrestrial biome	ENVO:00000446	true	13004844300	2010-11-01	USA	2017-06-05T19:00:59		true	44.37		soil	mge585796	C_9: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317006	38.5402727	mgl585797	SRX2020014	California	-121.7500776	1	7	1	7	compost soil	ENVO:00005747	5	48088fe5ab6d676d343734393337332e33	false	SRX2020014	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	SRX2020014	C_9	h_sapiens	illumina	86698962	WGS
Mingji	Lu	Gottingen university	Germany	90	224.158710181233	false	0.673	150	terrestrial biome	ENVO:00000446	true	20370357000	2012-02-08	USA	2017-06-05T19:01:05		true	47.326		soil	mge585808	C_13: soil	soil	organic feature	ENVO:01000159	454	fastq	false	false	2	metagenome	317007	37.454581	mgl585809	SRX2021085	Milpitas, CA	-121.928712	1	7	1	7	compost soil	ENVO:00005747	5	d5641d7b4c6d676d343734393337342e33	false	SRX2021085	4.0.2	50	immediately	mgp80207	reference_metagenome	true	97	SRX2021085	C_13	h_sapiens	illumina	135802380	WGS
