Gen;Frecuencia;Clase;Antibiotico;Organismo
rrnS;80,62;Aminoglycoside;Streptomycin;Chlamydomonas reinhardtii
aadA;59,38;Aminoglycoside;Streptomycin;Escherichia coli
sul2;58,13;Sulfonamide;Sulfonamide;Vibrio cholerae
aadA24;56,25;Aminoglycoside;Streptomycin, Spectinomycin;Salmonella enterica subsp. enterica serovar Newport
aph(6)-Id;54,37;Aminoglycoside;Streptomycin;Pseudomonas aeruginosa
sul1;54,37;Sulfonamide;Sulfonamide;Vibrio fluvialis
APH(3'')-Ib;44,38;Aminoglycoside;Streptomycin;Pseudomonas aeruginosa
aadA6;40,62;Aminoglycoside;Streptomycin;Pseudomonas aeruginosa
acrB;38,12;Tetracycline, Penam, Rifamycin, Glycylcycline, Cephalosporin, Phenicol, Triclosan, Fluoroquinolone;Multidrug;Escherichia coli str. K-12 substr. MG1655
acrD;34,38;Aminoglycoside;Multidrug;Escherichia coli str. K-12 substr. W3110
acrF;33,75;Fluoroquinolone, Penam, Cephalosporin, Cephamycin;Multidrug;Escherichia coli str. K-12 substr. MG1655
mtrA;31,87;Macrolide, Penam;Multidrug;Mycobacterium tuberculosis H37Rv
smeE;31,25;Fluoroquinolone, Macrolide, Tetracycline, Phenicol;Multidrug;Stenotrophomonas maltophilia
ttgB;29,38;Tetracycline;Tetracycline;Pseudomonas putida
adeJ;29,38;Diaminopyrimidine, Rifamycin, Penem, Tetracycline, Phenicol, Carbapenem, Macrolide, Lincosamide, Fluoroquinolone, Cephalosporin;Multidrug;Acinetobacter baumannii
CRP;27,5;Penam, Macrolide, Fluoroquinolone;Multidrug;Escherichia coli str. K-12 substr. W3110
MexB;27,5;Peptide, Penam, Diaminopyrimidine, Sulfonamide, Fluoroquinolone, Monobactam, Phenicol, Carbapenem, Macrolide, Tetracycline, Aminocoumarin, Cephalosporin, Cephamycin, Penem;Multidrug;Pseudomonas aeruginosa
mdtB;27,5;Aminocoumarin;Multidrug;Escherichia coli str. K-12 substr. MG1655
TEM-1;26,88;Cephalosporin, Penam, Penem, Monobactam;Beta-lactam;Salmonella enterica subsp. enterica serovar Typhi str. CT18
emrB;26,88;Fluoroquinolone;Multidrug;Escherichia coli str. K-12 substr. MG1655
cpxA;26,25;Aminoglycoside, Aminocoumarin;;Escherichia coli O157:H7 str. Sakai
adeF;25,62;Tetracycline, Fluoroquinolone;Multidrug;Acinetobacter baumannii AYE
tet(L);25,62;Tetracycline;Tetracycline;Geobacillus stearothermophilus
mdtF;25,62;Fluoroquinolone, Macrolide, Penam;Multidrug;Escherichia coli str. K-12 substr. MG1655
