Nombre del gen;Nombres alternativos;Clase;Antibiotico;Mecanismo;Database;Organismo;RefSeq Sequence Reference;Genbank Accession Number;CARD Accession;Enlace
aac(3)-II;;Aminoglycoside;Gentamicin;Inactivation;NCBI;Sphingopyxis alaskensis RB2256;NG_048573.1;CP000356.1;;https://www.ncbi.nlm.nih.gov/nuccore/NG_048573.1
aac(3)-IV;aacC4, AAC(3)-IVa;Aminoglycoside;Apramycin, Gentamicin, Tobramycin;Inactivation;CARD;Escherichia coli;NG_047253.1;DQ241380.1;ARO:3002539;https://www.ncbi.nlm.nih.gov/nuccore/NG_047253.1
aac(6')-31;;Aminoglycoside;Aminoglycoside;Inactivation;CARD;Pseudomonas putida;;AM283489.1;ARO:3002585;https://www.ncbi.nlm.nih.gov/nuccore/AM283489.1
aac(6')-Ia;aacA1, aac(6')-I;Aminoglycoside;Aminoglycoside;Inactivation;CARD;Plasmid R;;M18967.1;ARO:3002545;https://www.ncbi.nlm.nih.gov/nuccore/M18967
aac(6')-Ib;aacA4, AAC(6')-4;Aminoglycoside;Aminoglycoside;Inactivation;CARD;Klebsiella pneumoniae;;JQ808129.1;ARO:3002546;https://www.ncbi.nlm.nih.gov/nuccore/JQ808129.1/
aac(6')-Ib-cr;;Aminoglycoside, Fluoroquinolone;Aminoglycoside, Fluoroquinolone;Inactivation;CARD;Escherichia coli;;DQ303918.1;ARO:3002547;https://www.ncbi.nlm.nih.gov/nuccore/DQ303918
aac(6')-Ie-aph(2'')-Ia;aac(6')-bifunctional aacA-aphD APH(2''),aph(2'')-bifunctional, AAC(6')-APH(2'');Aminoglycoside;Amikacin, Kanamycin, Tobramycin;Inactivation;CARD;Staphylococcus aureus;NG_047055.1;GU565967.1;ARO:3002597;https://www.ncbi.nlm.nih.gov/nuccore/GU565967.1
aac(6')-Ii;;Aminoglycoside;Aminoglycoside;Inactivation;CARD;Enterococcus faecium;NG_047298.1;L12710.1;ARO:3002556;https://www.ncbi.nlm.nih.gov/nuccore/L12710.1
aac(6')-IIa;;Aminoglycoside;Aminoglycoside;Inactivation;CARD;Salmonella enterica subsp. enterica serovar Typhi;;AY123251.1;ARO:3002594;https://www.ncbi.nlm.nih.gov/nuccore/AY123251
aac(6')-Iid;;Aminoglycoside;Aminoglycoside;Inactivation;CARD;Enterococcus hirae;NG_047299.1;AJ584700.2;ARO:3002589;https://www.ncbi.nlm.nih.gov/nuccore/AJ584700.2
aac(3)-Ia;aacC-A1, aacC1;Aminoglycoside;Gentamicin;Inactivation;CARD;Pseudomonas aeruginosa;NG_056001.1;U12338.3;ARO:3002528;https://www.ncbi.nlm.nih.gov/nuccore/U12338.3
aac(3)-Ic;aacC2;Aminoglycoside;Gentamicin;Inactivation;CARD;Escherichia coli;NG_047250.1;X54723.1;ARO:3002535;https://www.ncbi.nlm.nih.gov/nuccore/X54723.1
aad(6);ant(6)-Ia, aac(6);Aminoglycoside;Streptomycin;Inactivation;CARD;Streptococcus oralis;;AY712687.1;ARO:3002628;https://www.ncbi.nlm.nih.gov/nuccore/AY712687
ANT(9)-Ia;aad(9), spc, spw, aad9;Aminoglycoside;Spectinomycin;Inactivation;CARD;Staphylococcus aureus;NG_047397.1;X02588.1;ARO:3002630;https://www.ncbi.nlm.nih.gov/nuccore/X02588.1
aadA;ANT(3'')-Ia, aadA1-pm aadA, aadA1, aad(3'')(9);Aminoglycoside;Streptomycin;Inactivation;CARD;Escherichia coli;;AF550679.1;ARO:3002601;https://www.ncbi.nlm.nih.gov/nuccore/AF550679
aadA2;;Aminoglycoside;Streptomycin, Spectinomycin;Inactivation;CARD;Klebsiella pneumoniae;;AF156486.1;ARO:3002602;https://www.ncbi.nlm.nih.gov/nuccore/AF156486
aadA24;;Aminoglycoside;Streptomycin, Spectinomycin;Inactivation;CARD;Salmonella enterica subsp. enterica serovar Newport;;DQ677333.1;ARO:3002621;https://www.ncbi.nlm.nih.gov/nuccore/DQ677333
aadA3;;Aminoglycoside;Streptomycin;Inactivation;CARD;Plasmid NR79;NG_047353.1;AF047479.2;ARO:3002603;https://www.ncbi.nlm.nih.gov/nuccore/AF047479.2
aadA4;;Aminoglycoside;Streptomycin;Inactivation;CARD;Acinetobacter baumannii;NG_047356.1;AY138986.1;ARO:3002604;https://www.ncbi.nlm.nih.gov/nuccore/AY138986.1
aadA5;;Aminoglycoside;Streptomycin, Spectinomycin;Inactivation;CARD;Escherichia coli;NG_047357.1;AF137361.1;ARO:3002605;https://www.ncbi.nlm.nih.gov/nuccore/AF137361.1
aadA6;;Aminoglycoside;Streptomycin;Inactivation;CARD;Pseudomonas aeruginosa;;AM087411.1;ARO:3002606;https://www.ncbi.nlm.nih.gov/nuccore/AM087411.1
aadA9;ANT(9)-Ia;Aminoglycoside;Streptomycin;Inactivation;CARD;Corynebacterium sp. L2-79-05;;DQ390458.1;ARO:3002609;https://www.ncbi.nlm.nih.gov/nuccore/DQ390458.1
ANT(2'')-Ia;aadB;Aminoglycoside;Gentamicin, Kanamycin, Tobramycin;Inactivation;CARD;Pseudomonas aeruginosa;;AF078527.1;ARO:3000230;https://www.ncbi.nlm.nih.gov/nuccore/AF078527
ANT(4')-Ia;aadD, aadD2;Aminoglycoside;Amikacin, Kanamycin, Tobramycin;Inactivation;CARD;Bacillus clausii;NG_047392.1;EF540343.1;ARO:3002623;https://www.ncbi.nlm.nih.gov/nuccore/EF540343.1
ANT(6)-Ia;ant6, aadE;Aminoglycoside;Streptomycin;Inactivation;CARD;Exiguobacterium sp. S3-2;;KF648874.1;ARO:3002626;https://www.ncbi.nlm.nih.gov/nuccore/KF648874.1
abeM;;Fluoroquinolone, Acridine, Triclosan;Multidrug;Efflux;CARD;Acinetobacter baumannii;;AB204810.2;ARO:3000753;https://www.ncbi.nlm.nih.gov/nuccore/AB204810
abeS;;Macrolide, Aminocoumarin;Multidrug;Efflux;CARD;Acinetobacter baumannii AB307-0294;;CP001172.1;ARO:3000768;https://www.ncbi.nlm.nih.gov/nuccore/213985689
acrA;;Tetracycline, Penam, Rifamycin, Glycylcycline, Cephalosporin, Phenicol, Triclosan, Fluoroquinolone;Multidrug;Efflux;CARD;Klebsiella pneumoniae;;AJ318073.1;ARO:3000207;https://www.ncbi.nlm.nih.gov/nuccore/AJ318073
acrB;ECK0456, JW0451;Tetracycline, Penam, Rifamycin, Glycylcycline, Cephalosporin, Phenicol, Triclosan, Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000216;https://www.ncbi.nlm.nih.gov/nuccore/U00096.3
acrD;;Aminoglycoside;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3000491;https://www.ncbi.nlm.nih.gov/nuccore/AP009048.1
acrE;ECK3252, envC;Fluoroquinolone, Penam, Cephalosporin, Cephamycin;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000499;https://www.ncbi.nlm.nih.gov/nuccore/U00096.3
acrF;ECK3253, envD;Fluoroquinolone, Penam, Cephalosporin, Cephamycin;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000502;https://www.ncbi.nlm.nih.gov/nuccore/U00096.3
acrR;ECK0458, ybaH;Tetracycline, Penam, Rifamycin, Glycylcycline, Cephalosporin, Phenicol, Triclosan, Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3000702;https://www.ncbi.nlm.nih.gov/nuccore/U00096.3
adeA;;Tetracycline, Glycylcycline;Multidrug;Efflux;CARD;Acinetobacter baumannii;;AF370885.1;ARO:3000774;https://www.ncbi.nlm.nih.gov/nuccore/AF370885.1
adeB;;Tetracycline, Glycylcycline;Multidrug;Efflux;CARD;Acinetobacter baumannii;;AF370885.1;ARO:3000775;https://www.ncbi.nlm.nih.gov/nuccore/AF370885.1
adeF;;Tetracycline, Fluoroquinolone;Multidrug;Efflux;CARD;Acinetobacter baumannii AYE;;CT025801.2;ARO:3000777;https://www.ncbi.nlm.nih.gov/nuccore/CT025801
adeG;;Tetracycline, Fluoroquinolone;Multidrug;Efflux;CARD;Acinetobacter baumannii AYE;;CT025800.2;ARO:3000778;https://www.ncbi.nlm.nih.gov/nuccore/CT025800.2
adeH;;Tetracycline, Fluoroquinolone;Multidrug;Efflux;CARD;Acinetobacter baumannii AYE;;CT025802.2;ARO:3000779;https://www.ncbi.nlm.nih.gov/nuccore/CT025802.2
adeI;;Diaminopyrimidine, Rifamycin, Penem, Tetracycline, Phenicol, Carbapenem, Macrolide, Lincosamide, Fluoroquinolone, Cephalosporin;Multidrug;Efflux;CARD;Acinetobacter baumannii AB0057;;CP001182.2;ARO:3000780;https://www.ncbi.nlm.nih.gov/nuccore/CP001182
adeJ;;Diaminopyrimidine, Rifamycin, Penem, Tetracycline, Phenicol, Carbapenem, Macrolide, Lincosamide, Fluoroquinolone, Cephalosporin;Multidrug;Efflux;CARD;Acinetobacter baumannii;;AY769962.1;ARO:3000781;https://www.ncbi.nlm.nih.gov/nuccore/AY769962
adeK;;Diaminopyrimidine, Rifamycin, Penem, Tetracycline, Phenicol, Carbapenem, Macrolide, Lincosamide, Fluoroquinolone, Cephalosporin;Multidrug;Efflux;CARD;Acinetobacter baumannii;;AY769962.1;ARO:3000782;https://www.ncbi.nlm.nih.gov/nuccore/AY769962
adeN;;Diaminopyrimidine, Rifamycin, Penem, Tetracycline, Phenicol, Carbapenem, Macrolide, Lincosamide, Fluoroquinolone, Cephalosporin;Multidrug;Efflux;CARD;Acinetobacter baumannii;;KF147862.1;ARO:3000559;https://www.ncbi.nlm.nih.gov/nuccore/KF147862
adeR;;Tetracycline, Glycylcycline;Multidrug;Efflux;CARD;Acinetobacter baumannii;;HM440348.1;ARO:3000553;https://www.ncbi.nlm.nih.gov/nuccore/HM440348
adeS;;Tetracycline, Glycylcycline;Multidrug;Efflux;CARD;Acinetobacter baumannii;;HM440348.1;ARO:3000549;https://www.ncbi.nlm.nih.gov/nuccore/HM440348
ampC;ampA, ECK4146;Cephalosporin, Penam;Beta-lactam;Inactivation;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3004290;https://www.ncbi.nlm.nih.gov/nuccore/U00096.3
ant(3'')-Ih-AAC(6')-Iid;;Aminoglycoside;Streptomycin, Spectinomycin, Gentamicin, Tobramycin;Inactivation;NCBI;Serratia marcescens;NG_047218.1;AF453998.2;;https://www.ncbi.nlm.nih.gov/nuccore/AF453998.2
ant(6)-Ib;;Aminoglycoside;Streptomycin;Inactivation;CARD;Campylobacter fetus subsp. fetus;NG_047396.1;FN594949.1;ARO:3002629;https://www.ncbi.nlm.nih.gov/nuccore/FN594949.1
aph(2'')-Ie;;Aminoglycoside;Amikacin, Kanamycin, Tobramycin, Gentamicin;Inactivation;CARD;Enterococcus casseliflavus;;AY939911.1;ARO:3002634;https://www.ncbi.nlm.nih.gov/nuccore/AY939911
APH(2'')-IVa;aph(2')-Id;Aminoglycoside;Amikacin, Kanamycin, Tobramycin, Gentamicin;Inactivation;CARD;Enterococcus casseliflavus;NG_047403.1;AF016483.1;ARO:3002637;https://www.ncbi.nlm.nih.gov/nuccore/AF016483.1
aph(3'')-Ia;aphD2, aphE;Aminoglycoside;Streptomycin;Inactivation;CARD;Streptomyces griseus;NG_047409.1;X53527.1;ARO:3002638;https://www.ncbi.nlm.nih.gov/nuccore/X53527.1
aph(3'')-Ic;;Aminoglycoside;Streptomycin;Inactivation;CARD;Mycolicibacterium fortuitum;NG_047416.1;DQ336355.1;ARO:3002640;https://www.ncbi.nlm.nih.gov/nuccore/DQ336355.1
aph(3')-Ia;aphA-1, apha1-1AB, APH(3')-Ic, apha7, kanR;Aminoglycoside;Kanamycin;Inactivation;CARD;Serratia marcescens;;BX664015.1;ARO:3002641;https://www.ncbi.nlm.nih.gov/nuccore/BX664015.1
aph(3')-Ib;aphA-like;Aminoglycoside;Kanamycin;Inactivation;CARD;Plasmid RP4;NG_047442.1;M20305.1;ARO:3002642;https://www.ncbi.nlm.nih.gov/nuccore/M20305.1
aph(3')-IIIa;;Aminoglycoside;Amikacin, Kanamycin;Inactivation;CARD;Campylobacter coli CVM N29710;;CP004067.1;ARO:3002647;https://www.ncbi.nlm.nih.gov/nuccore/CP004067
aph(3')-VIa;aphA-6;Aminoglycoside;Amikacin, Kanamycin;Inactivation;CARD;Acinetobacter baumannii;NG_047448.1;X07753.1;ARO:3002652;https://www.ncbi.nlm.nih.gov/nuccore/X07753.1
aph(4)-Ia;hph;Aminoglycoside;Hygromycin;Inactivation;CARD;Escherichia coli;NG_047456.1;V01499.1;ARO:3002655;https://www.ncbi.nlm.nih.gov/nuccore/V01499.1
aph(6)-Ia;aphD;Aminoglycoside;Streptomycin;Inactivation;CARD;Streptomyces griseus;NG_047458.1;Y00459.1;ARO:3002657;https://www.ncbi.nlm.nih.gov/nuccore/Y00459.1
aph(6)-Ic;str, sph;Aminoglycoside;Streptomycin;Inactivation;CARD;Escherichia coli;;X01702.1;ARO:3002659;https://www.ncbi.nlm.nih.gov/nuccore/X01702
aph(6)-Id;strB, orfI;Aminoglycoside;Streptomycin;Inactivation;CARD;Pseudomonas aeruginosa;NG_047465.1;AF024602.1;ARO:3002660;https://www.ncbi.nlm.nih.gov/nuccore/AF024602.1
arlR;;Fluoroquinolone, Acridine;;Efflux;CARD;Staphylococcus aureus subsp. aureus str. Newman;;CP023390.1;ARO:3000838;https://www.ncbi.nlm.nih.gov/nuccore/CP023390.1
arlS;;Fluoroquinolone, Acridine;;Efflux;CARD;Staphylococcus aureus subsp. aureus NCTC 8325;;CP000253.1;ARO:3000839;https://www.ncbi.nlm.nih.gov/nuccore/CP000253.1
arnA;pmrL;Peptide;Polymyxin;Alteration;CARD;Pseudomonas aeruginosa PAO1;;AE004091.2;ARO:3002985;https://www.ncbi.nlm.nih.gov/nuccore/ae004091
pmrF;arnC, yfbF, ECK2247;Peptide;Polymyxin;Alteration;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3003578;https://www.ncbi.nlm.nih.gov/nuccore/U00096.3
bacA;uppP, ECK3047;Peptide;Bacitracin;Alteration;CARD;Escherichia coli str. K-12 substr. MG1655;;U00096.3;ARO:3002986;https://www.ncbi.nlm.nih.gov/nuccore/U00096.3
baeR;;Aminoglycoside, Aminocoumarin;;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3000828;https://www.ncbi.nlm.nih.gov/nuccore/AP009048.1
baeS;;Aminoglycoside, Aminocoumarin;;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3000829;https://www.ncbi.nlm.nih.gov/nuccore/AP009048.1
bcrA;;Peptide;Bacitracin;Efflux;CARD;Bacillus licheniformis;;L20573.1;ARO:3002987;https://www.ncbi.nlm.nih.gov/nuccore/L20573
BRO-1;bl2_bro, blaBRO-1;Penam;Beta-lactam;Inactivation;CARD;Moraxella catarrhalis;NG_048711.1;U49269.2;ARO:3004761;https://www.ncbi.nlm.nih.gov/nuccore/U49269.2
CARB-2;PSE-1, blaP1b, PSE-3, bl2c_pse1;Penam;Beta-lactam;Inactivation;CARD;Escherichia coli;;DQ157752.1;ARO:3002241;https://www.ncbi.nlm.nih.gov/nuccore/DQ157752
bla1;;Penam;Beta-lactam;Inactivation;CARD;Bacillus anthracis;NG_055637.1;AY453161.1;ARO:3000090;https://www.ncbi.nlm.nih.gov/nuccore/AY453161.1
blaI;;Penam;Beta-lactam;Inactivation;NCBI;Staphylococcus aureus;NG_047499.1;M62650.1;ARO:3000160;https://www.ncbi.nlm.nih.gov/nuccore/M62650.1
blaZ;;Penam;Beta-lactam;Inactivation;CARD;Staphylococcus aureus subsp. aureus USA300_TCH959;NG_055999.1;CP000732.1;ARO:3000621;https://www.ncbi.nlm.nih.gov/nuccore/CP000732.1
bleO;;Glycopeptide;Bleomycin;Inactivation;NCBI;Staphylococcus aureus N315;NG_047557.1;D86934.2;;https://www.ncbi.nlm.nih.gov/nuccore/D86934.2
CARB-10;BlaRTG-4;Penam;Cephalosporin;Inactivation;CARD;Acinetobacter baumannii;NG_048714.1;EU850412.1;ARO:3002249;https://www.ncbi.nlm.nih.gov/nuccore/EU850412.1
CARB-3;;Penam;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;NG_048733.1;S46063.1;ARO:3002242;https://www.ncbi.nlm.nih.gov/nuccore/S46063.1
CARB-4;BlaP3;Penam;Beta-lactam;Inactivation;CARD;Pseudomonas aeruginosa;NG_048742.1;U14749.1;ARO:3002243;https://www.ncbi.nlm.nih.gov/nuccore/U14749.1
CARB-5;BlaRTG-2;Penam;Beta-lactam;Inactivation;CARD;Acinetobacter calcoaceticus subsp. anitratus;NG_048750.1;AF135373.1;ARO:3002244;https://www.ncbi.nlm.nih.gov/nuccore/AF135373.1
CARB-8;BlaRTG-3;Penam;Beta-lactam;Inactivation;CARD;Oligella urethralis;NG_048753.1;AY178993.1;ARO:3002247;https://www.ncbi.nlm.nih.gov/nuccore/AY178993.1
catA1;;Phenicol;Chloramphenicol;Inactivation;NCBI;Escherichia coli K-12;NG_047584.1;X99398.1;;https://www.ncbi.nlm.nih.gov/nuccore/X99398.1
catA13;;Phenicol;Chloramphenicol;Inactivation;NCBI;Campylobacter coli;NG_047588.1;M35190.1;;https://www.ncbi.nlm.nih.gov/nuccore/M35190.1
catA16;;Phenicol;Chloramphenicol;Inactivation;NCBI;Streptococcus pneumoniae;NG_047591.1;AJ971089.6;;https://www.ncbi.nlm.nih.gov/nuccore/AJ971089.6
catA8;;Phenicol;Chloramphenicol;Inactivation;CARD;Listeria monocytogenes;;JQ922409.1;ARO:3004658;https://www.ncbi.nlm.nih.gov/nuccore/JQ922409.1
catB;;Phenicol;Chloramphenicol;Inactivation;CARD;Clostridium butyricum;;M93113.1;ARO:3002674;https://www.ncbi.nlm.nih.gov/nuccore/M93113
catB3;catB4;Phenicol;Chloramphenicol;Inactivation;CARD;Enterobacter cloacae;;JX101693.1;ARO:3002676;https://www.ncbi.nlm.nih.gov/nuccore/JX101693.1
catB8;;Phenicol;Chloramphenicol;Inactivation;CARD;Salmonella enterica subsp. enterica serovar Typhi;;AY123251.1;ARO:3002680;https://www.ncbi.nlm.nih.gov/nuccore/AY123251.1
CblA;;Cephalosporin;Beta-lactam;Inactivation;CARD;mixed culture bacterium AX_gF3SD01_15;;GQ343019.1;ARO:3002999;https://www.ncbi.nlm.nih.gov/nuccore/GQ343019
ceoA;;Aminoglycoside, Fluoroquinolone;Multidrug;Efflux;CARD;Burkholderia cepacia;;U97042.1;ARO:3003009;https://www.ncbi.nlm.nih.gov/nuccore/U97042
ceoB;;Aminoglycoside, Fluoroquinolone;Multidrug;Efflux;CARD;Burkholderia cepacia;;U97042.1;ARO:3003010;https://www.ncbi.nlm.nih.gov/nuccore/U97042
cepA;;Cephalosporin;Beta-lactam;Inactivation;CARD;Bacteroides fragilis;;U05883.1;ARO:3003559;https://www.ncbi.nlm.nih.gov/nuccore/U05883
CcrA;CciA, CfiA;Carbapenem;Beta-lactam;Inactivation;CARD;Bacteroides fragilis;NG_050389.1;M63556.1;ARO:3000578;https://www.ncbi.nlm.nih.gov/nuccore/M63556.1
cfrA;cfr, cfr(A);Oxazolidinone, Streptogramin, Lincosamide, Phenicol, Pleuromutilin;Multidrug;Alteration;CARD;Staphylococcus warneri;;AM408573.1;ARO:3003441;https://www.ncbi.nlm.nih.gov/nuccore/AM408573
CfxA;;Cephamycin;Beta-lactam;Inactivation;CARD;Bacteroides vulgatus;NG_047633.1;U38243.1;ARO:3003001;https://www.ncbi.nlm.nih.gov/nuccore/U38243.1
CfxA2;;Cephamycin;Beta-lactam;Inactivation;CARD;Prevotella intermedia;;AF118110.1;ARO:3003002;https://www.ncbi.nlm.nih.gov/nuccore/AF118110.1
CfxA3;;Cephamycin;Beta-lactam;Inactivation;CARD;Capnocytophaga ochracea;NG_047641.1;AF472622.2;ARO:3003003;https://www.ncbi.nlm.nih.gov/nuccore/AF472622.2
CfxA6;;Cephamycin;Beta-lactam;Inactivation;CARD;uncultured organism;;GQ342996.1;ARO:3003097;https://www.ncbi.nlm.nih.gov/nuccore/GQ342996
mdfA;cmlA, cmr;Tetracycline, Rhodamine, Benzalkonium;Multidrug;Efflux;CARD;Escherichia coli;;JQ394987.1;ARO:3001328;https://www.ncbi.nlm.nih.gov/nuccore/JQ394987
cmlA1;;Phenicol;Chloramphenicol;Efflux;CARD;Pseudomonas aeruginosa;NG_047646.1;M64556.1;ARO:3002693;https://www.ncbi.nlm.nih.gov/nuccore/M64556.1
cmx;;Phenicol;Chloramphenicol;Efflux;CARD;Corynebacterium striatum;NG_047664.1;AF024666.2;ARO:3002703;https://www.ncbi.nlm.nih.gov/nuccore/AF024666.2
CMY-1;;Cephamycin;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;NG_048768.1;X92508.1;ARO:3002012;https://www.ncbi.nlm.nih.gov/nuccore/X92508.1
CMY-2;BIL-1, LAT-2;Cephalosporin, Cephamycin;Beta-lactam;Inactivation;CARD;Klebsiella pneumoniae;NG_048814.1;X91840.1;ARO:3002013;https://www.ncbi.nlm.nih.gov/nuccore/X91840.1
cpxA;;Aminoglycoside, Aminocoumarin;;Efflux;CARD;Escherichia coli O157:H7 str. Sakai;;BA000007.3;ARO:3000830;https://www.ncbi.nlm.nih.gov/nuccore/BA000007.3
CpxR;;Peptide, Sulfonamide , Aminocoumarin, Penam, Diaminopyrimidine, Carbapenem, Phenicol, Monobactam, Cephalosporin, Fluoroquinolone, Macrolide, Tetracycline, Aminoglycoside, Penem, Cephamycin;Multidrug;Efflux;CARD;Pseudomonas aeruginosa;;LT673656.1;ARO:3004054;https://www.ncbi.nlm.nih.gov/nuccore/LT673656.1
CRP;;Penam, Macrolide, Fluoroquinolone;Multidrug;Efflux;CARD;Escherichia coli str. K-12 substr. W3110;;AP009048.1;ARO:3000518;https://www.ncbi.nlm.nih.gov/nuccore/AP009048.1
CTX-M-1;MEN-1;Cephalosporin;Beta-lactam;Inactivation;CARD;Escherichia coli;NG_048897.1;X92506.1;ARO:3001864;https://www.ncbi.nlm.nih.gov/nuccore/X92506.1
CTX-M-2;CTX-M-97;Cephalosporin;Beta-lactam;Inactivation;CARD;Escherichia coli;;DQ125241.2;ARO:3001865;https://www.ncbi.nlm.nih.gov/nuccore/DQ125241
dfrA1;dfr1;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Klebsiella oxytoca;;KJ541681.1;ARO:3002854;https://www.ncbi.nlm.nih.gov/nuccore/KJ541681.1
dfrA12;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Klebsiella pneumoniae;;GU585907.1;ARO:3002858;https://www.ncbi.nlm.nih.gov/nuccore/GU585907.1
dfrA14;;Diaminopyrimidine;Trimethoprim;Replacement;CARD;Escherichia coli;NG_056035.1;KF921535.1;ARO:3002859;https://www.ncbi.nlm.nih.gov/nuccore/KF921535.1
